Pack Date,Planning Year,Mix Product Name,Component Crop Name,Component Percent,Component Quantity,Component Unit,Variety Request,Safety Factor,Harvest Date,Notes,Component Source Type
2025-07-02,2025,Salad Mix,Radicchio Round,8,1.4,,,1.1,2025-07-01,,crop
2025-07-05,2025,Salad Mix,Lettuce Mix SN,50,49.5,,,1.1,2025-07-03,,crop
2025-07-05,2025,Salad Mix,Lettuce Mini Gem,20,19.8,,,1.1,2025-07-03,,crop
2025-07-05,2025,Salad Mix,Frisee,15,14.8,,,1.1,2025-07-03,,crop
2025-07-05,2025,Salad Mix,Radicchio Variegated,7,6.9,,,1.1,2025-07-03,,crop
2025-07-05,2025,Salad Mix,Radicchio Round,8,7.9,,,1.1,2025-07-03,,crop
2025-07-09,2025,Salad Mix,Lettuce Mix SN,40,6.8,,,1.1,2025-07-08,,crop
2025-07-09,2025,Salad Mix,Lettuce Mini Gem,20,3.4,,,1.1,2025-07-08,,crop
2025-07-09,2025,Salad Mix,Frisee,20,3.4,,,1.1,2025-07-08,,crop
2025-07-09,2025,Salad Mix,Radicchio Variegated,8,1.4,,,1.1,2025-07-08,,crop
2025-07-09,2025,Salad Mix,Radicchio Round,12,2,,,1.1,2025-07-08,,crop
2025-07-12,2025,Salad Mix,Lettuce Mix SN,40,39.6,,,1.1,2025-07-10,,crop
2025-07-12,2025,Salad Mix,Lettuce Mini Gem,15,14.9,,,1.1,2025-07-10,,crop
2025-07-12,2025,Salad Mix,Frisee,17,16.8,,,1.1,2025-07-10,,crop
2025-07-12,2025,Salad Mix,Radicchio Variegated,8,7.9,,,1.1,2025-07-10,,crop
2025-07-12,2025,Salad Mix,Radicchio Round,10,9.9,,,1.1,2025-07-10,,crop
2025-07-12,2025,Salad Mix,Greens Mix Cheap Frills,10,9.9,,,1.1,2025-07-10,,crop
2025-07-16,2025,Salad Mix,Lettuce Mix SN,40,7.3,,,1.1,2025-07-15,,crop
2025-07-16,2025,Salad Mix,Lettuce Mini Gem,20,3.7,,,1.1,2025-07-15,,crop
2025-07-16,2025,Salad Mix,Frisee,20,3.7,,,1.1,2025-07-15,,crop
2025-07-16,2025,Salad Mix,Radicchio Variegated,8,1.5,,,1.1,2025-07-15,,crop
2025-07-16,2025,Salad Mix,Radicchio Round,12,2.2,,,1.1,2025-07-15,,crop
2025-07-19,2025,Salad Mix,Lettuce Mix SN,30,27.5,,,1.1,2025-07-17,,crop
2025-07-19,2025,Salad Mix,Lettuce Mini Gem,20,18.3,,,1.1,2025-07-17,,crop
2025-07-19,2025,Salad Mix,Frisee,20,18.3,,,1.1,2025-07-17,,crop
2025-07-19,2025,Salad Mix,Radicchio Variegated,12,11,,,1.1,2025-07-17,,crop
2025-07-19,2025,Salad Mix,Radicchio Round,12,11,,,1.1,2025-07-17,,crop
2025-07-19,2025,Salad Mix,Greens Mix Cheap Frills,5,4.6,,,1.1,2025-07-17,,crop
2025-07-19,2025,Salad Mix,Greens Mix Amaranth,1,0.9,,,1.1,2025-07-17,,crop
2025-07-23,2025,Salad Mix,Lettuce Mix SN,40,10.1,,,1.1,2025-07-22,,crop
2025-07-23,2025,Salad Mix,Lettuce Mini Gem,15,3.8,,,1.1,2025-07-22,,crop
2025-07-23,2025,Salad Mix,Frisee,25,6.3,,,1.1,2025-07-22,,crop
2025-07-23,2025,Salad Mix,Radicchio Variegated,10,2.5,,,1.1,2025-07-22,,crop
2025-07-23,2025,Salad Mix,Radicchio Round,10,2.5,,,1.1,2025-07-22,,crop
2025-07-26,2025,Salad Mix,Lettuce Mix SN,35,26.4,,,1.1,2025-07-24,,crop
2025-07-26,2025,Salad Mix,Lettuce Mini Gem,15,11.3,,,1.1,2025-07-24,,crop
2025-07-26,2025,Salad Mix,Frisee,25,18.9,,,1.1,2025-07-24,,crop
2025-07-26,2025,Salad Mix,Radicchio Variegated,13,9.8,,,1.1,2025-07-24,,crop
2025-07-26,2025,Salad Mix,Radicchio Round,12,9.1,,,1.1,2025-07-24,,crop
2025-07-30,2025,Salad Mix,Lettuce Mix SN,45,4.8,,,1.1,2025-07-29,,crop
